FIPS,State,county_state,fi_rate,number_fi_persons,percent_low_threshold,low_threshold_type,percent_high_threshold,high_threshold_type,percent_fi_below_low_threshold,percent_fi_btwn_threshold,percent_fi_above_threshold,child_fi_rate,child_fi_persons,cost_per_meal,weighted_annual_food_budget_shortfall
13121,GA,"Fulton County, Georgia",0.167,168680,1.3,SNAP,1.85,Other Nutrition Program,0.475,0.118,0.408,0.194,44690,3.61,103936000
13123,GA,"Gilmer County, Georgia",0.106,3130,1.3,SNAP,1.85,Other Nutrition Program,0.61,0.133,0.257,0.238,1430,2.89,1543000
13125,GA,"Glascock County, Georgia",0.108,330,1.3,SNAP,1.85,Other Nutrition Program,0.476,0.325,0.199,0.176,120,2.73,154000
13127,GA,"Glynn County, Georgia",0.151,12580,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.145,0.3,0.225,4290,3.33,7142000
13129,GA,"Gordon County, Georgia",0.11,6230,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.21,0.172,0.222,3170,2.68,2851000
13131,GA,"Grady County, Georgia",0.165,4140,1.3,SNAP,1.85,Other Nutrition Program,0.652,0.201,0.147,0.247,1560,2.74,1934000
13133,GA,"Greene County, Georgia",0.162,2710,1.3,SNAP,1.85,Other Nutrition Program,0.624,0.163,0.213,0.234,760,3.22,1487000
13135,GA,"Gwinnett County, Georgia",0.102,90640,1.3,SNAP,1.85,Other Nutrition Program,0.511,0.217,0.273,0.171,42210,2.93,45246000
13137,GA,"Habersham County, Georgia",0.098,4280,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.165,0.258,0.199,1990,2.88,2106000
13139,GA,"Hall County, Georgia",0.08,15340,1.3,SNAP,1.85,Other Nutrition Program,0.626,0.181,0.193,0.188,9550,3,7847000
13141,GA,"Hancock County, Georgia",0.237,2060,1.3,SNAP,1.85,Other Nutrition Program,0.504,0.082,0.413,0.296,370,2.89,1015000
13143,GA,"Haralson County, Georgia",0.127,3650,1.3,SNAP,1.85,Other Nutrition Program,0.589,0.136,0.275,0.223,1550,2.95,1836000
13145,GA,"Harris County, Georgia",0.088,2940,1.3,SNAP,1.85,Other Nutrition Program,0.348,0.196,0.455,0.16,1170,3.31,1663000
13147,GA,"Hart County, Georgia",0.134,3430,1.3,SNAP,1.85,Other Nutrition Program,0.62,0.168,0.213,0.207,1120,2.76,1614000
13149,GA,"Heard County, Georgia",0.134,1560,1.3,SNAP,1.85,Other Nutrition Program,0.588,0.151,0.26,0.22,590,3.01,802000
13151,GA,"Henry County, Georgia",0.137,29740,1.3,SNAP,1.85,Other Nutrition Program,0.422,0.162,0.416,0.18,10450,2.97,15054000
13153,GA,"Houston County, Georgia",0.146,21890,1.3,SNAP,1.85,Other Nutrition Program,0.515,0.137,0.347,0.205,7960,2.94,10988000
13155,GA,"Irwin County, Georgia",0.178,1650,1.3,SNAP,1.85,Other Nutrition Program,0.681,0.131,0.188,0.256,520,2.79,785000
13157,GA,"Jackson County, Georgia",0.09,5770,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.153,0.321,0.172,2800,3.48,3430000
13159,GA,"Jasper County, Georgia",0.138,1890,1.3,SNAP,1.85,Other Nutrition Program,0.673,0.169,0.158,0.209,680,2.9,936000
13161,GA,"Jeff Davis County, Georgia",0.135,2030,1.3,SNAP,1.85,Other Nutrition Program,0.678,0.14,0.182,0.225,910,2.72,944000
13163,GA,"Jefferson County, Georgia",0.214,3420,1.3,SNAP,1.85,Other Nutrition Program,0.651,0.203,0.146,0.269,1030,2.9,1693000
13165,GA,"Jenkins County, Georgia",0.199,1780,1.3,SNAP,1.85,Other Nutrition Program,0.739,0.151,0.11,0.277,600,2.9,880000
13167,GA,"Johnson County, Georgia",0.168,1650,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.192,0.255,0.24,480,2.81,791000
13169,GA,"Jones County, Georgia",0.124,3540,1.3,SNAP,1.85,Other Nutrition Program,0.535,0.107,0.358,0.194,1330,2.62,1582000
13171,GA,"Lamar County, Georgia",0.166,3040,1.3,SNAP,1.85,Other Nutrition Program,0.558,0.125,0.317,0.234,900,2.99,1550000
13173,GA,"Lanier County, Georgia",0.179,1860,1.3,SNAP,1.85,Other Nutrition Program,0.647,0.069,0.283,0.236,620,2.95,935000
13175,GA,"Laurens County, Georgia",0.196,9290,1.3,SNAP,1.85,Other Nutrition Program,0.668,0.124,0.208,0.253,2980,2.95,4674000
13177,GA,"Lee County, Georgia",0.113,3320,1.3,SNAP,1.85,Other Nutrition Program,0.436,0.122,0.441,0.185,1450,3.17,1797000
13179,GA,"Liberty County, Georgia",0.173,10720,1.3,SNAP,1.85,Other Nutrition Program,0.539,0.279,0.182,0.204,3640,2.93,5360000
13181,GA,"Lincoln County, Georgia",0.169,1310,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.219,0.22,0.251,380,2.96,662000
13183,GA,"Long County, Georgia",0.139,2490,1.3,SNAP,1.85,Other Nutrition Program,0.63,0.175,0.195,0.217,1100,2.86,1214000
13185,GA,"Lowndes County, Georgia",0.188,21370,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.153,0.229,0.223,6100,3.05,11106000
13187,GA,"Lumpkin County, Georgia",0.124,3910,1.3,SNAP,1.85,Other Nutrition Program,0.606,0.069,0.326,0.196,1150,3.11,2077000
13189,GA,"McDuffie County, Georgia",0.198,4250,1.3,SNAP,1.85,Other Nutrition Program,0.601,0.096,0.303,0.273,1550,2.69,1948000
13191,GA,"McIntosh County, Georgia",0.159,2230,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.158,0.285,0.227,570,3.08,1173000
13193,GA,"Macon County, Georgia",0.228,3110,1.3,SNAP,1.85,Other Nutrition Program,0.63,0.142,0.228,0.261,690,2.95,1564000
13195,GA,"Madison County, Georgia",0.117,3340,1.3,SNAP,1.85,Other Nutrition Program,0.682,0.114,0.204,0.209,1380,3.18,1814000
13197,GA,"Marion County, Georgia",0.178,1520,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.168,0.272,0.25,470,2.95,764000
13199,GA,"Meriwether County, Georgia",0.183,3870,1.3,SNAP,1.85,Other Nutrition Program,0.615,0.171,0.213,0.236,1100,3.16,2087000
13201,GA,"Miller County, Georgia",0.171,1010,1.3,SNAP,1.85,Other Nutrition Program,0.578,0.154,0.268,0.249,340,2.99,515000
13205,GA,"Mitchell County, Georgia",0.205,4630,1.3,SNAP,1.85,Other Nutrition Program,0.582,0.151,0.267,0.257,1370,2.72,2148000
13207,GA,"Monroe County, Georgia",0.123,3310,1.3,SNAP,1.85,Other Nutrition Program,0.469,0.196,0.335,0.169,940,2.92,1649000
13209,GA,"Montgomery County, Georgia",0.153,1370,1.3,SNAP,1.85,Other Nutrition Program,0.483,0.142,0.375,0.227,440,2.72,637000
13211,GA,"Morgan County, Georgia",0.123,2210,1.3,SNAP,1.85,Other Nutrition Program,0.468,0.193,0.339,0.192,790,3.02,1140000
13213,GA,"Murray County, Georgia",0.112,4410,1.3,SNAP,1.85,Other Nutrition Program,0.639,0.162,0.199,0.226,2260,2.69,2024000
13215,GA,"Muscogee County, Georgia",0.197,39230,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.163,0.282,0.234,11550,3.18,21294000
13217,GA,"Newton County, Georgia",0.161,16920,1.3,SNAP,1.85,Other Nutrition Program,0.504,0.168,0.328,0.205,5790,2.87,8284000
13219,GA,"Oconee County, Georgia",0.068,2460,1.3,SNAP,1.85,Other Nutrition Program,0.36,0.137,0.503,0.157,1510,3.43,1438000
13221,GA,"Oglethorpe County, Georgia",0.126,1850,1.3,SNAP,1.85,Other Nutrition Program,0.604,0.149,0.246,0.225,720,3.25,1027000
13223,GA,"Paulding County, Georgia",0.099,15120,1.3,SNAP,1.85,Other Nutrition Program,0.431,0.209,0.36,0.17,7120,3.01,7763000
13225,GA,"Peach County, Georgia",0.171,4630,1.3,SNAP,1.85,Other Nutrition Program,0.521,0.195,0.284,0.217,1280,3.31,2618000
13227,GA,"Pickens County, Georgia",0.084,2560,1.3,SNAP,1.85,Other Nutrition Program,0.47,0.219,0.311,0.176,1090,3.25,1421000
13229,GA,"Pierce County, Georgia",0.129,2470,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.098,0.295,0.221,1070,2.73,1149000
13231,GA,"Pike County, Georgia",0.102,1830,1.3,SNAP,1.85,Other Nutrition Program,0.426,0.188,0.386,0.183,800,2.99,935000
13233,GA,"Polk County, Georgia",0.128,5310,1.3,SNAP,1.85,Other Nutrition Program,0.635,0.187,0.178,0.229,2470,2.78,2522000
13235,GA,"Pulaski County, Georgia",0.175,2000,1.3,SNAP,1.85,Other Nutrition Program,0.579,0.154,0.268,0.257,500,2.91,993000
13237,GA,"Putnam County, Georgia",0.137,2940,1.3,SNAP,1.85,Other Nutrition Program,0.537,0.216,0.248,0.214,900,2.8,1406000
13239,GA,"Quitman County, Georgia",0.196,420,1.3,SNAP,1.85,Other Nutrition Program,0.639,0.191,0.17,0.278,100,3.05,219000
13241,GA,"Rabun County, Georgia",0.117,1910,1.3,SNAP,1.85,Other Nutrition Program,0.651,0.086,0.264,0.232,660,2.85,930000
13243,GA,"Randolph County, Georgia",0.249,1790,1.3,SNAP,1.85,Other Nutrition Program,0.755,0.099,0.147,0.325,540,3.07,937000
13245,GA,"Richmond County, Georgia",0.214,43130,1.3,SNAP,1.85,Other Nutrition Program,0.595,0.168,0.237,0.248,11710,2.92,21526000
13247,GA,"Rockdale County, Georgia",0.162,14350,1.3,SNAP,1.85,Other Nutrition Program,0.513,0.203,0.284,0.2,4520,2.93,7173000
13249,GA,"Schley County, Georgia",0.165,850,1.3,SNAP,1.85,Other Nutrition Program,0.595,0.188,0.217,0.24,320,2.86,414000
13251,GA,"Screven County, Georgia",0.188,2640,1.3,SNAP,1.85,Other Nutrition Program,0.655,0.208,0.137,0.256,790,2.96,1333000
13253,GA,"Seminole County, Georgia",0.184,1570,1.3,SNAP,1.85,Other Nutrition Program,0.622,0.159,0.218,0.267,490,3.07,824000
13255,GA,"Spalding County, Georgia",0.175,11220,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.183,0.24,0.242,3760,3.07,5870000
13257,GA,"Stephens County, Georgia",0.134,3440,1.3,SNAP,1.85,Other Nutrition Program,0.614,0.197,0.189,0.217,1250,2.77,1625000
13259,GA,"Stewart County, Georgia",0.218,1270,1.3,SNAP,1.85,Other Nutrition Program,0.552,0.041,0.407,0.304,250,3.09,670000
13261,GA,"Sumter County, Georgia",0.235,7220,1.3,SNAP,1.85,Other Nutrition Program,0.656,0.155,0.19,0.298,2150,2.88,3546000
13263,GA,"Talbot County, Georgia",0.177,1140,1.3,SNAP,1.85,Other Nutrition Program,0.615,0.169,0.216,0.199,230,3.1,604000
13265,GA,"Taliaferro County, Georgia",0.229,420,1.3,SNAP,1.85,Other Nutrition Program,0.671,0.171,0.157,0.282,80,3.18,228000
13267,GA,"Tattnall County, Georgia",0.157,3980,1.3,SNAP,1.85,Other Nutrition Program,0.495,0.145,0.36,0.243,1290,2.68,1821000
13269,GA,"Taylor County, Georgia",0.214,1770,1.3,SNAP,1.85,Other Nutrition Program,0.73,0.086,0.184,0.272,470,2.97,898000
13271,GA,"Telfair County, Georgia",0.202,3310,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.166,0.278,0.277,790,2.79,1575000
13273,GA,"Terrell County, Georgia",0.248,2230,1.3,SNAP,1.85,Other Nutrition Program,0.686,0.114,0.199,0.303,660,2.94,1118000
13275,GA,"Thomas County, Georgia",0.172,7730,1.3,SNAP,1.85,Other Nutrition Program,0.601,0.179,0.22,0.22,2390,3.2,4226000
13277,GA,"Tift County, Georgia",0.174,7040,1.3,SNAP,1.85,Other Nutrition Program,0.651,0.064,0.285,0.25,2530,3.03,3638000
13279,GA,"Toombs County, Georgia",0.169,4580,1.3,SNAP,1.85,Other Nutrition Program,0.699,0.126,0.175,0.232,1710,2.87,2245000
13281,GA,"Towns County, Georgia",0.114,1270,1.3,SNAP,1.85,Other Nutrition Program,0.469,0.226,0.305,0.231,350,2.96,642000
13283,GA,"Treutlen County, Georgia",0.168,1140,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.1,0.313,0.249,360,2.83,551000
13285,GA,"Troup County, Georgia",0.173,12030,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.167,0.272,0.22,3840,2.73,5607000
13287,GA,"Turner County, Georgia",0.192,1540,1.3,SNAP,1.85,Other Nutrition Program,0.635,0.036,0.329,0.27,540,2.85,748000
13289,GA,"Twiggs County, Georgia",0.202,1680,1.3,SNAP,1.85,Other Nutrition Program,0.65,0.169,0.181,0.241,380,2.92,838000
13291,GA,"Union County, Georgia",0.095,2120,1.3,SNAP,1.85,Other Nutrition Program,0.512,0.198,0.29,0.221,800,3.08,1114000
13293,GA,"Upson County, Georgia",0.172,4520,1.3,SNAP,1.85,Other Nutrition Program,0.623,0.148,0.229,0.24,1410,2.79,2151000
13295,GA,"Walker County, Georgia",0.119,8190,1.3,SNAP,1.85,Other Nutrition Program,0.596,0.13,0.274,0.217,3310,2.94,4114000
13297,GA,"Walton County, Georgia",0.113,10060,1.3,SNAP,1.85,Other Nutrition Program,0.497,0.151,0.352,0.191,4300,3.12,5357000
13299,GA,"Ware County, Georgia",0.173,6170,1.3,SNAP,1.85,Other Nutrition Program,0.6,0.176,0.225,0.251,2130,2.76,2906000
13301,GA,"Warren County, Georgia",0.22,1190,1.3,SNAP,1.85,Other Nutrition Program,0.626,0.166,0.207,0.245,280,2.77,563000
13303,GA,"Washington County, Georgia",0.208,4270,1.3,SNAP,1.85,Other Nutrition Program,0.596,0.136,0.268,0.251,1160,2.75,2003000
13305,GA,"Wayne County, Georgia",0.156,4650,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.168,0.275,0.224,1650,2.76,2188000
13307,GA,"Webster County, Georgia",0.186,490,1.3,SNAP,1.85,Other Nutrition Program,0.506,0.222,0.272,0.23,140,2.87,240000
13309,GA,"Wheeler County, Georgia",0.224,1780,1.3,SNAP,1.85,Other Nutrition Program,0.585,0.125,0.29,0.297,400,2.86,868000
13311,GA,"White County, Georgia",0.112,3180,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.143,0.297,0.226,1350,2.92,1587000
13313,GA,"Whitfield County, Georgia",0.09,9370,1.3,SNAP,1.85,Other Nutrition Program,0.708,0.207,0.086,0.211,5880,2.83,4525000
13315,GA,"Wilcox County, Georgia",0.17,1510,1.3,SNAP,1.85,Other Nutrition Program,0.476,0.165,0.36,0.233,400,2.84,732000
13317,GA,"Wilkes County, Georgia",0.192,1900,1.3,SNAP,1.85,Other Nutrition Program,0.651,0.203,0.146,0.274,560,3.17,1029000
13319,GA,"Wilkinson County, Georgia",0.175,1600,1.3,SNAP,1.85,Other Nutrition Program,0.593,0.146,0.261,0.235,500,2.87,784000
13321,GA,"Worth County, Georgia",0.162,3380,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.139,0.259,0.234,1140,2.7,1558000
15001,HI,"Hawaii County, Hawaii",0.118,23190,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.712,,0.288,0.195,8420,3.45,13652000
15003,HI,"Honolulu County, Hawaii",0.105,103870,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.531,,0.469,0.158,33600,3.45,61177000
15005,HI,"Kalawao County, Hawaii",0.178,20,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.273,,0.727,0.188, -   ,3.48,12000
15007,HI,"Kauai County, Hawaii",0.097,6930,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.61,,0.39,0.152,2400,3.41,4034000
15009,HI,"Maui County, Hawaii",0.103,16910,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.585,,0.415,0.163,5940,3.7,10672000
16001,ID,"Ada County, Idaho",0.12,52080,1.3,SNAP,1.85,Other Nutrition Program,0.398,0.138,0.464,0.143,15420,3.29,29234000
16003,ID,"Adams County, Idaho",0.14,550,1.3,SNAP,1.85,Other Nutrition Program,0.489,0.226,0.285,0.195,140,3.75,352000
16005,ID,"Bannock County, Idaho",0.137,11510,1.3,SNAP,1.85,Other Nutrition Program,0.534,0.146,0.321,0.167,3770,2.99,5868000
16007,ID,"Bear Lake County, Idaho",0.127,750,1.3,SNAP,1.85,Other Nutrition Program,0.475,0.155,0.37,0.175,280,2.92,374000
16009,ID,"Benewah County, Idaho",0.149,1340,1.3,SNAP,1.85,Other Nutrition Program,0.535,0.199,0.266,0.198,400,3.2,732000
16011,ID,"Bingham County, Idaho",0.105,4740,1.3,SNAP,1.85,Other Nutrition Program,0.537,0.263,0.201,0.154,2210,2.86,2313000
16013,ID,"Blaine County, Idaho",0.107,2300,1.3,SNAP,1.85,Other Nutrition Program,0.504,0.159,0.337,0.171,850,4.58,1796000
16015,ID,"Boise County, Idaho",0.124,860,1.3,SNAP,1.85,Other Nutrition Program,0.438,0.164,0.398,0.181,230,3.14,461000
16017,ID,"Bonner County, Idaho",0.14,5860,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.16,0.36,0.18,1530,3.34,3344000
16019,ID,"Bonneville County, Idaho",0.111,12260,1.3,SNAP,1.85,Other Nutrition Program,0.471,0.246,0.283,0.147,5070,2.86,5993000
16021,ID,"Boundary County, Idaho",0.151,1710,1.3,SNAP,1.85,Other Nutrition Program,0.518,0.085,0.397,0.199,530,3.34,976000
16023,ID,"Butte County, Idaho",0.132,350,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.274,0.246,0.167,90,2.92,174000
16025,ID,"Camas County, Idaho",0.143,130,1.3,SNAP,1.85,Other Nutrition Program,0.559,0.215,0.226,0.208,50,3,66000
16027,ID,"Canyon County, Idaho",0.115,23870,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.219,0.167,0.163,10020,2.89,11777000
16029,ID,"Caribou County, Idaho",0.105,720,1.3,SNAP,1.85,Other Nutrition Program,0.389,0.214,0.397,0.141,280,2.92,358000
16031,ID,"Cassia County, Idaho",0.097,2290,1.3,SNAP,1.85,Other Nutrition Program,0.578,0.272,0.15,0.147,1120,2.88,1124000
16033,ID,"Clark County, Idaho",0.116,120,1.3,SNAP,1.85,Other Nutrition Program,0.823,0.093,0.084,0.185,70,3,61000
16035,ID,"Clearwater County, Idaho",0.148,1260,1.3,SNAP,1.85,Other Nutrition Program,0.408,0.204,0.389,0.195,270,3.21,690000
16037,ID,"Custer County, Idaho",0.147,610,1.3,SNAP,1.85,Other Nutrition Program,0.487,0.074,0.439,0.18,120,3.6,374000
16039,ID,"Elmore County, Idaho",0.134,3520,1.3,SNAP,1.85,Other Nutrition Program,0.528,0.19,0.282,0.166,1130,3.05,1831000
16041,ID,"Franklin County, Idaho",0.111,1450,1.3,SNAP,1.85,Other Nutrition Program,0.494,0.246,0.26,0.154,680,2.96,732000
16043,ID,"Fremont County, Idaho",0.104,1340,1.3,SNAP,1.85,Other Nutrition Program,0.529,0.229,0.243,0.148,530,3.12,713000
16045,ID,"Gem County, Idaho",0.144,2430,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.149,0.311,0.195,770,3.13,1299000
16047,ID,"Gooding County, Idaho",0.1,1520,1.3,SNAP,1.85,Other Nutrition Program,0.661,0.257,0.082,0.153,640,2.95,765000
16049,ID,"Idaho County, Idaho",0.136,2220,1.3,SNAP,1.85,Other Nutrition Program,0.517,0.196,0.287,0.175,560,3.31,1256000
16051,ID,"Jefferson County, Idaho",0.097,2660,1.3,SNAP,1.85,Other Nutrition Program,0.473,0.322,0.205,0.138,1320,3.08,1398000
16053,ID,"Jerome County, Idaho",0.097,2240,1.3,SNAP,1.85,Other Nutrition Program,0.641,0.26,0.099,0.154,1110,2.78,1062000
16055,ID,"Kootenai County, Idaho",0.131,19590,1.3,SNAP,1.85,Other Nutrition Program,0.424,0.168,0.408,0.172,6070,3.2,10712000
16057,ID,"Latah County, Idaho",0.167,6480,1.3,SNAP,1.85,Other Nutrition Program,0.502,0.094,0.405,0.167,1220,3.08,3406000
16059,ID,"Lemhi County, Idaho",0.155,1200,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.156,0.266,0.208,280,3.75,767000
16061,ID,"Lewis County, Idaho",0.148,570,1.3,SNAP,1.85,Other Nutrition Program,0.502,0.257,0.24,0.191,170,3.07,298000
16063,ID,"Lincoln County, Idaho",0.09,480,1.3,SNAP,1.85,Other Nutrition Program,0.637,0.315,0.048,0.144,240,2.95,242000
16065,ID,"Madison County, Idaho",0.19,7260,1.3,SNAP,1.85,Other Nutrition Program,0.678,0.121,0.201,0.168,1740,2.85,3537000
16067,ID,"Minidoka County, Idaho",0.095,1940,1.3,SNAP,1.85,Other Nutrition Program,0.627,0.196,0.177,0.167,980,2.62,868000
16069,ID,"Nez Perce County, Idaho",0.131,5260,1.3,SNAP,1.85,Other Nutrition Program,0.465,0.123,0.411,0.166,1430,2.84,2552000
16071,ID,"Oneida County, Idaho",0.121,520,1.3,SNAP,1.85,Other Nutrition Program,0.483,0.167,0.35,0.166,200,2.93,260000
16073,ID,"Owyhee County, Idaho",0.131,1500,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.142,0.209,0.2,610,3.12,799000
16075,ID,"Payette County, Idaho",0.118,2700,1.3,SNAP,1.85,Other Nutrition Program,0.527,0.136,0.337,0.16,990,3.72,1715000
16077,ID,"Power County, Idaho",0.086,660,1.3,SNAP,1.85,Other Nutrition Program,0.466,0.466,0.067,0.145,340,2.92,328000
16079,ID,"Shoshone County, Idaho",0.16,2000,1.3,SNAP,1.85,Other Nutrition Program,0.537,0.113,0.351,0.218,550,3.18,1086000
16081,ID,"Teton County, Idaho",0.093,1000,1.3,SNAP,1.85,Other Nutrition Program,0.477,0.107,0.416,0.13,380,3,511000
16083,ID,"Twin Falls County, Idaho",0.117,9660,1.3,SNAP,1.85,Other Nutrition Program,0.529,0.21,0.261,0.154,3530,2.95,4862000
16085,ID,"Valley County, Idaho",0.123,1250,1.3,SNAP,1.85,Other Nutrition Program,0.335,0.177,0.488,0.13,240,3.16,673000
16087,ID,"Washington County, Idaho",0.126,1260,1.3,SNAP,1.85,Other Nutrition Program,0.562,0.265,0.173,0.178,420,2.91,626000
17001,IL,"Adams County, Illinois",0.111,7380,1.65,SNAP,1.85,Other Nutrition Program,0.588,0.049,0.363,0.156,2360,2.73,3443000
17003,IL,"Alexander County, Illinois",0.222,1500,1.65,SNAP,1.85,Other Nutrition Program,0.808,0.022,0.17,0.301,490,2.74,701000
17005,IL,"Bond County, Illinois",0.111,1890,1.65,SNAP,1.85,Other Nutrition Program,0.571,0.015,0.414,0.171,570,2.76,889000
17007,IL,"Boone County, Illinois",0.077,4140,1.65,SNAP,1.85,Other Nutrition Program,0.682,0.081,0.237,0.154,2140,2.65,1869000
17009,IL,"Brown County, Illinois",0.109,740,1.65,SNAP,1.85,Other Nutrition Program,0.438,0.028,0.534,0.141,150,2.7,341000
17011,IL,"Bureau County, Illinois",0.094,3150,1.65,SNAP,1.85,Other Nutrition Program,0.618,0.035,0.346,0.17,1250,2.91,1564000
17013,IL,"Calhoun County, Illinois",0.102,500,1.65,SNAP,1.85,Other Nutrition Program,0.523,0.03,0.447,0.16,160,2.96,253000
17015,IL,"Carroll County, Illinois",0.097,1430,1.65,SNAP,1.85,Other Nutrition Program,0.568,0.073,0.359,0.147,420,2.62,638000
17017,IL,"Cass County, Illinois",0.086,1110,1.65,SNAP,1.85,Other Nutrition Program,0.75,0.057,0.193,0.144,450,2.83,535000
17019,IL,"Champaign County, Illinois",0.15,31250,1.65,SNAP,1.85,Other Nutrition Program,0.637,0.022,0.342,0.154,6100,2.94,15656000
17021,IL,"Christian County, Illinois",0.109,3660,1.65,SNAP,1.85,Other Nutrition Program,0.594,0.046,0.36,0.171,1190,2.56,1596000
17023,IL,"Clark County, Illinois",0.11,1750,1.65,SNAP,1.85,Other Nutrition Program,0.669,0.045,0.286,0.185,680,2.63,785000
17025,IL,"Clay County, Illinois",0.109,1460,1.65,SNAP,1.85,Other Nutrition Program,0.641,0.056,0.303,0.173,500,2.67,665000
17027,IL,"Clinton County, Illinois",0.083,3120,1.65,SNAP,1.85,Other Nutrition Program,0.496,0.041,0.463,0.134,1070,2.51,1335000
17029,IL,"Coles County, Illinois",0.142,7440,1.65,SNAP,1.85,Other Nutrition Program,0.697,0.022,0.282,0.181,1710,2.46,3128000
17031,IL,"Cook County, Illinois",0.12,630380,1.65,SNAP,1.85,Other Nutrition Program,0.711,0.005,0.285,0.158,184900,3.05,327609000
17033,IL,"Crawford County, Illinois",0.107,2050,1.65,SNAP,1.85,Other Nutrition Program,0.55,0.056,0.394,0.157,580,2.75,962000
17035,IL,"Cumberland County, Illinois",0.102,1110,1.65,SNAP,1.85,Other Nutrition Program,0.639,0.048,0.313,0.163,400,2.59,491000
17037,IL,"DeKalb County, Illinois",0.126,13180,1.65,SNAP,1.85,Other Nutrition Program,0.621,0.022,0.357,0.16,3650,3.03,6808000
17039,IL,"De Witt County, Illinois",0.101,1630,1.65,SNAP,1.85,Other Nutrition Program,0.554,0.019,0.427,0.173,610,2.85,792000
17041,IL,"Douglas County, Illinois",0.094,1860,1.65,SNAP,1.85,Other Nutrition Program,0.692,0.033,0.275,0.158,790,2.77,880000
17043,IL,"DuPage County, Illinois",0.067,62420,1.65,SNAP,1.85,Other Nutrition Program,0.503,0.036,0.461,0.117,25370,3.24,34541000
17045,IL,"Edgar County, Illinois",0.115,2020,1.65,SNAP,1.85,Other Nutrition Program,0.611,0.047,0.342,0.184,680,2.76,951000
17047,IL,"Edwards County, Illinois",0.095,620,1.65,SNAP,1.85,Other Nutrition Program,0.586,0.053,0.361,0.165,250,2.72,288000
17049,IL,"Effingham County, Illinois",0.093,3190,1.65,SNAP,1.85,Other Nutrition Program,0.585,0.048,0.366,0.156,1280,2.68,1457000
17051,IL,"Fayette County, Illinois",0.123,2700,1.65,SNAP,1.85,Other Nutrition Program,0.656,0.054,0.29,0.197,900,2.45,1130000
17053,IL,"Ford County, Illinois",0.114,1540,1.65,SNAP,1.85,Other Nutrition Program,0.639,0.017,0.344,0.19,590,2.86,752000
17055,IL,"Franklin County, Illinois",0.137,5400,1.65,SNAP,1.85,Other Nutrition Program,0.7,0.029,0.271,0.207,1810,2.9,2671000
17057,IL,"Fulton County, Illinois",0.121,4310,1.65,SNAP,1.85,Other Nutrition Program,0.608,0.045,0.346,0.184,1310,2.53,1863000
17059,IL,"Gallatin County, Illinois",0.122,640,1.65,SNAP,1.85,Other Nutrition Program,0.714,0.029,0.257,0.202,230,2.56,280000
17061,IL,"Greene County, Illinois",0.121,1610,1.65,SNAP,1.85,Other Nutrition Program,0.642,0.066,0.292,0.192,550,2.71,745000
17063,IL,"Grundy County, Illinois",0.09,4530,1.65,SNAP,1.85,Other Nutrition Program,0.49,0.054,0.456,0.148,1920,3,2323000
17065,IL,"Hamilton County, Illinois",0.106,870,1.65,SNAP,1.85,Other Nutrition Program,0.645,0.034,0.321,0.165,300,2.67,396000
17067,IL,"Hancock County, Illinois",0.099,1810,1.65,SNAP,1.85,Other Nutrition Program,0.599,0.051,0.35,0.173,670,2.63,812000
17069,IL,"Hardin County, Illinois",0.132,550,1.65,SNAP,1.85,Other Nutrition Program,0.77,0.056,0.174,0.197,140,2.55,239000
17071,IL,"Henderson County, Illinois",0.101,700,1.65,SNAP,1.85,Other Nutrition Program,0.583,0.077,0.34,0.184,240,2.6,310000
17073,IL,"Henry County, Illinois",0.099,4890,1.65,SNAP,1.85,Other Nutrition Program,0.568,0.036,0.396,0.161,1810,2.53,2110000
