FIPS,State,"County, State",2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child food insecurity rate,# of Food Insecure Children in 2017,% food insecure children in HH w/ HH incomes below 185 FPL in 2017,% food insecure children in HH w/ HH incomes above 185 FPL in 2017,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
8079,CO,"Mineral County, Colorado",9.7%, 80 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",83.1%,,16.9%,13.6%, 10 ,42%,58%,$3.63,"$50,000.00"
8081,CO,"Moffat County, Colorado",10.7%," 1,400 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",84.7%,,15.3%,13.5%, 460 ,75%,25%,$3.41,"$816,000.00"
8083,CO,"Montezuma County, Colorado",13.2%," 3,410 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",79.0%,,21.0%,19.3%," 1,120 ",80%,20%,$3.12,"$1,817,000.00"
8085,CO,"Montrose County, Colorado",12.0%," 4,900 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",80.4%,,19.6%,18.1%," 1,650 ",74%,26%,$3.44,"$2,879,000.00"
8087,CO,"Morgan County, Colorado",7.7%," 2,170 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,12.1%, 900 ,73%,28%,$2.94,"$1,087,000.00"
8089,CO,"Otero County, Colorado",11.3%," 2,070 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",96.4%,,3.6%,18.5%, 800 ,72%,28%,$2.96,"$1,047,000.00"
8091,CO,"Ouray County, Colorado",11.7%, 540 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",55.6%,,44.4%,14.8%, 100 ,55%,45%,$3.49,"$322,000.00"
8093,CO,"Park County, Colorado",9.4%," 1,580 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.2%,,37.8%,13.0%, 370 ,58%,42%,$3.38,"$913,000.00"
8095,CO,"Phillips County, Colorado",8.8%, 380 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",85.7%,,14.3%,10.0%, 110 ,88%,13%,$3.13,"$203,000.00"
8097,CO,"Pitkin County, Colorado",10.7%," 1,900 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",48.7%,,51.3%,11.9%, 340 ,43%,57%,$3.61,"$1,170,000.00"
8099,CO,"Prowers County, Colorado",9.8%," 1,180 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",94.0%,,6.0%,15.3%, 470 ,69%,31%,$2.95,"$593,000.00"
8101,CO,"Pueblo County, Colorado",10.6%," 17,320 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",94.4%,,5.6%,17.4%," 6,550 ",72%,28%,$2.96,"$8,754,000.00"
8103,CO,"Rio Blanco County, Colorado",12.1%, 790 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.5%,,39.5%,16.2%, 260 ,66%,34%,$3.39,"$457,000.00"
8105,CO,"Rio Grande County, Colorado",9.5%," 1,090 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",90.0%,,10.0%,16.6%, 450 ,54%,46%,$3.35,"$623,000.00"
8107,CO,"Routt County, Colorado",11.3%," 2,740 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.2%,,39.8%,13.6%, 630 ,51%,49%,$4.18,"$1,956,000.00"
8109,CO,"Saguache County, Colorado",11.2%, 710 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,18.1%, 250 ,96%,4%,$3.34,"$404,000.00"
8111,CO,"San Juan County, Colorado",8.9%, 50 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,17.1%, 20 ,63%,37%,$3.67,"$31,000.00"
8113,CO,"San Miguel County, Colorado",11.9%, 920 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.2%,,32.8%,14.2%, 210 ,62%,38%,$3.34,"$524,000.00"
8115,CO,"Sedgwick County, Colorado",12.5%, 290 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",81.8%,,18.2%,17.6%, 90 ,76%,24%,$3.09,"$153,000.00"
8117,CO,"Summit County, Colorado",9.9%," 2,950 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.5%,,27.5%,13.5%, 650 ,55%,45%,$4.38,"$2,206,000.00"
8119,CO,"Teller County, Colorado",10.0%," 2,370 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.1%,,42.9%,13.3%, 580 ,51%,49%,$3.43,"$1,386,000.00"
8121,CO,"Washington County, Colorado",10.6%, 510 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.9%,,28.1%,13.5%, 150 ,74%,27%,$3.28,"$285,000.00"
8123,CO,"Weld County, Colorado",8.1%," 23,230 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",80.7%,,19.3%,12.8%," 9,800 ",65%,36%,$3.33,"$13,196,000.00"
8125,CO,"Yuma County, Colorado",10.6%," 1,070 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",94.3%,,5.7%,15.1%, 410 ,89%,11%,$2.94,"$537,000.00"
9001,CT,"Fairfield County, Connecticut",9.4%," 89,410 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.4%,,39.6%,13.4%," 29,400 ",59%,41%,$3.86,"$58,928,000.00"
9003,CT,"Hartford County, Connecticut",11.5%," 103,340 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",59.7%,,40.3%,15.1%," 29,110 ",64%,36%,$3.33,"$58,787,000.00"
9005,CT,"Litchfield County, Connecticut",9.3%," 17,070 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",47.9%,,52.1%,13.6%," 4,770 ",43%,57%,$3.45,"$10,050,000.00"
9007,CT,"Middlesex County, Connecticut",9.7%," 15,970 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",47.2%,,52.8%,13.4%," 4,150 ",50%,50%,$3.75,"$10,222,000.00"
9009,CT,"New Haven County, Connecticut",12.1%," 104,190 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.9%,,39.1%,15.8%," 28,340 ",68%,33%,$3.27,"$58,100,000.00"
9011,CT,"New London County, Connecticut",11.2%," 30,330 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",55.9%,,44.1%,16.1%," 8,720 ",66%,34%,$3.43,"$17,734,000.00"
9013,CT,"Tolland County, Connecticut",9.6%," 14,480 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",43.1%,,56.9%,12.7%," 3,500 ",42%,58%,$3.51,"$8,666,000.00"
9015,CT,"Windham County, Connecticut",11.0%," 12,820 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.7%,,39.3%,16.4%," 3,890 ",69%,32%,$3.03,"$6,635,000.00"
10001,DE,"Kent County, Delaware",12.9%," 22,400 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.3%,,24.7%,17.3%," 7,020 ",80%,20%,$2.94,"$11,244,000.00"
10003,DE,"New Castle County, Delaware",11.7%," 64,730 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.2%,,38.8%,15.3%," 18,700 ",61%,39%,$3.36,"$37,081,000.00"
10005,DE,"Sussex County, Delaware",9.8%," 21,100 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.5%,,27.5%,17.2%," 7,150 ",77%,23%,$3.45,"$12,438,000.00"
11001,DC,"District of Columbia, District of Columbia",11.4%," 76,340 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.7%,,25.3%,21.1%," 24,880 ",70%,30%,$4.16,"$54,187,000.00"
12001,FL,"Alachua County, Florida",18.7%," 48,610 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.2%,,32.8%,20.1%," 9,410 ",63%,37%,$3.34,"$27,707,000.00"
12003,FL,"Baker County, Florida",15.2%," 4,170 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.3%,,42.7%,21.4%," 1,440 ",58%,42%,$2.95,"$2,098,000.00"
12005,FL,"Bay County, Florida",15.6%," 28,020 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.6%,,32.4%,21.4%," 8,310 ",74%,26%,$3.35,"$16,037,000.00"
12007,FL,"Bradford County, Florida",16.7%," 4,470 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.6%,,37.4%,21.7%," 1,190 ",76%,24%,$2.81,"$2,142,000.00"
12009,FL,"Brevard County, Florida",13.6%," 77,380 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.4%,,34.6%,20.2%," 21,370 ",68%,32%,$3.28,"$43,293,000.00"
12011,FL,"Broward County, Florida",13.6%," 257,910 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.6%,,24.4%,18.2%," 73,950 ",64%,36%,$3.47,"$152,587,000.00"
12013,FL,"Calhoun County, Florida",14.2%," 2,050 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.9%,,26.1%,18.7%, 590 ,86%,14%,$3.23,"$1,128,000.00"
12015,FL,"Charlotte County, Florida",13.0%," 22,460 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.6%,,34.4%,21.1%," 4,700 ",81%,19%,$3.31,"$12,693,000.00"
12017,FL,"Citrus County, Florida",14.7%," 20,840 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.8%,,31.2%,25.2%," 5,360 ",82%,18%,$3.47,"$12,355,000.00"
12019,FL,"Clay County, Florida",12.3%," 25,050 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",58.0%,,42.0%,18.1%," 8,890 ",58%,42%,$3.09,"$13,192,000.00"
12021,FL,"Collier County, Florida",10.1%," 36,120 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.0%,,29.0%,19.4%," 12,400 ",67%,33%,$3.53,"$21,789,000.00"
12023,FL,"Columbia County, Florida",16.0%," 10,980 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.1%,,32.9%,21.8%," 3,270 ",75%,25%,$2.76,"$5,173,000.00"
12027,FL,"DeSoto County, Florida",15.6%," 5,570 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",85.2%,,14.8%,25.0%," 1,790 ",78%,23%,$3.15,"$2,992,000.00"
12029,FL,"Dixie County, Florida",16.7%," 2,720 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.0%,,32.0%,25.0%, 760 ,82%,18%,$2.88,"$1,338,000.00"
12031,FL,"Duval County, Florida",17.7%," 161,370 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.2%,,31.8%,21.1%," 43,720 ",69%,31%,$3.19,"$87,920,000.00"
12033,FL,"Escambia County, Florida",16.9%," 52,470 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.6%,,37.4%,21.4%," 13,970 ",68%,32%,$3.17,"$28,399,000.00"
12035,FL,"Flagler County, Florida",13.4%," 14,050 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.1%,,30.9%,21.2%," 3,970 ",77%,23%,$3.35,"$8,028,000.00"
12037,FL,"Franklin County, Florida",16.1%," 1,890 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.9%,,40.1%,23.8%, 460 ,77%,23%,$2.81,"$907,000.00"
12039,FL,"Gadsden County, Florida",22.2%," 10,260 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",83.1%,,16.9%,25.3%," 2,580 ",76%,24%,$2.76,"$4,824,000.00"
12041,FL,"Gilchrist County, Florida",14.7%," 2,520 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.6%,,34.4%,24.8%, 880 ,72%,28%,$3.16,"$1,359,000.00"
12043,FL,"Glades County, Florida",14.0%," 1,850 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.2%,,25.8%,21.9%, 470 ,81%,19%,$3.43,"$1,083,000.00"
12045,FL,"Gulf County, Florida",15.4%," 2,460 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",58.5%,,41.5%,20.7%, 520 ,79%,21%,$3.31,"$1,389,000.00"
12047,FL,"Hamilton County, Florida",20.2%," 2,880 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.2%,,38.8%,24.6%, 670 ,69%,31%,$2.86,"$1,404,000.00"
12049,FL,"Hardee County, Florida",12.5%," 3,400 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",93.8%,,6.2%,24.2%," 1,760 ",86%,14%,$2.94,"$1,707,000.00"
12051,FL,"Hendry County, Florida",13.1%," 5,130 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",96.2%,,3.8%,23.3%," 2,500 ",81%,20%,$3.04,"$2,661,000.00"
12053,FL,"Hernando County, Florida",13.0%," 23,380 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.9%,,28.1%,21.3%," 7,150 ",77%,23%,$3.16,"$12,619,000.00"
12055,FL,"Highlands County, Florida",14.4%," 14,390 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",81.5%,,18.5%,23.8%," 4,210 ",80%,20%,$3.06,"$7,503,000.00"
12057,FL,"Hillsborough County, Florida",13.3%," 179,280 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.4%,,25.6%,19.0%," 59,270 ",67%,33%,$3.32,"$101,617,000.00"
12059,FL,"Holmes County, Florida",17.6%," 3,430 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.3%,,32.7%,26.5%," 1,020 ",85%,16%,$3.44,"$2,014,000.00"
12061,FL,"Indian River County, Florida",13.1%," 19,370 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.9%,,28.1%,20.6%," 5,250 ",81%,19%,$3.67,"$12,123,000.00"
12063,FL,"Jackson County, Florida",18.8%," 9,140 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.6%,,34.4%,23.9%," 2,190 ",75%,25%,$3.08,"$4,800,000.00"
12065,FL,"Jefferson County, Florida",16.9%," 2,390 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.4%,,38.6%,20.0%, 460 ,94%,6%,$3.17,"$1,294,000.00"
12067,FL,"Lafayette County, Florida",13.8%," 1,200 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.6%,,29.4%,19.1%, 350 ,85%,15%,$2.78,"$569,000.00"
12069,FL,"Lake County, Florida",12.6%," 41,170 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.6%,,30.4%,19.8%," 12,730 ",74%,26%,$3.24,"$22,755,000.00"
12071,FL,"Lee County, Florida",12.3%," 86,050 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.0%,,29.0%,20.5%," 26,400 ",71%,29%,$3.36,"$49,412,000.00"
12073,FL,"Leon County, Florida",19.7%," 56,310 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.9%,,33.1%,19.4%," 10,460 ",64%,36%,$3.36,"$32,330,000.00"
12075,FL,"Levy County, Florida",16.0%," 6,350 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",82.2%,,17.8%,25.1%," 2,010 ",86%,14%,$2.91,"$3,152,000.00"
12077,FL,"Liberty County, Florida",16.5%," 1,380 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.5%,,25.5%,20.3%, 310 ,95%,5%,$3.25,"$766,000.00"
12079,FL,"Madison County, Florida",22.2%," 4,110 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.6%,,21.4%,29.0%," 1,030 ",79%,21%,$3.11,"$2,182,000.00"
12081,FL,"Manatee County, Florida",12.4%," 44,940 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.5%,,32.5%,19.9%," 13,870 ",70%,30%,$3.35,"$25,670,000.00"
12083,FL,"Marion County, Florida",14.9%," 51,310 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.4%,,26.6%,23.1%," 14,930 ",81%,19%,$3.06,"$26,783,000.00"
12085,FL,"Martin County, Florida",11.3%," 17,650 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.6%,,39.4%,18.1%," 4,740 ",67%,33%,$3.53,"$10,634,000.00"
12086,FL,"Miami-Dade County, Florida",9.5%," 255,680 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,19.4%," 107,530 ",65%,35%,$3.51,"$153,088,000.00"
12087,FL,"Monroe County, Florida",11.4%," 8,730 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.5%,,34.5%,17.9%," 2,080 ",69%,32%,$4.00,"$5,954,000.00"
12089,FL,"Nassau County, Florida",12.4%," 9,750 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",54.6%,,45.4%,19.6%," 3,120 ",62%,38%,$3.53,"$5,878,000.00"
12091,FL,"Okaloosa County, Florida",13.4%," 26,460 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.7%,,40.3%,19.0%," 8,360 ",65%,35%,$3.43,"$15,504,000.00"
12093,FL,"Okeechobee County, Florida",13.6%," 5,480 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",84.2%,,15.8%,23.0%," 2,040 ",83%,17%,$2.77,"$2,586,000.00"
12095,FL,"Orange County, Florida",13.8%," 178,240 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",79.1%,,20.9%,19.4%," 56,530 ",69%,31%,$3.31,"$100,534,000.00"
12097,FL,"Osceola County, Florida",9.8%," 32,020 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,19.9%," 16,220 ",75%,25%,$3.07,"$16,752,000.00"
12099,FL,"Palm Beach County, Florida",12.9%," 184,110 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.2%,,29.8%,19.0%," 52,710 ",66%,34%,$3.59,"$112,914,000.00"
12101,FL,"Pasco County, Florida",12.7%," 63,220 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.8%,,31.2%,19.7%," 20,080 ",66%,34%,$3.29,"$35,496,000.00"
12103,FL,"Pinellas County, Florida",14.2%," 134,650 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.4%,,35.6%,19.9%," 31,900 ",68%,32%,$3.41,"$78,298,000.00"
12105,FL,"Polk County, Florida",14.2%," 92,590 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",79.7%,,20.3%,21.7%," 31,900 ",79%,21%,$3.12,"$49,346,000.00"
12107,FL,"Putnam County, Florida",18.7%," 13,560 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",82.0%,,18.0%,27.6%," 4,350 ",84%,16%,$3.03,"$7,013,000.00"
12109,FL,"St. Johns County, Florida",11.0%," 24,880 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",46.5%,,53.5%,16.6%," 8,270 ",47%,53%,$3.79,"$16,072,000.00"
12111,FL,"St. Lucie County, Florida",14.8%," 44,190 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.0%,,25.0%,21.3%," 13,100 ",75%,25%,$3.18,"$23,944,000.00"
12113,FL,"Santa Rosa County, Florida",12.6%," 21,040 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.5%,,43.5%,19.5%," 7,280 ",62%,38%,$3.52,"$12,630,000.00"
12115,FL,"Sarasota County, Florida",11.9%," 48,330 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.5%,,43.5%,19.0%," 11,360 ",62%,38%,$3.65,"$30,083,000.00"
12117,FL,"Seminole County, Florida",11.9%," 53,240 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.0%,,36.0%,17.7%," 17,080 ",60%,40%,$3.32,"$30,200,000.00"
12119,FL,"Sumter County, Florida",12.1%," 14,160 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",48.3%,,51.7%,22.5%," 1,930 ",74%,26%,$3.48,"$8,407,000.00"
12121,FL,"Suwannee County, Florida",16.2%," 7,110 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.4%,,23.6%,24.9%," 2,350 ",83%,17%,$2.80,"$3,397,000.00"
12123,FL,"Taylor County, Florida",16.3%," 3,640 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.8%,,33.2%,21.3%, 920 ,78%,22%,$2.82,"$1,755,000.00"
12125,FL,"Union County, Florida",17.9%," 2,740 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",52.8%,,47.2%,24.0%, 700 ,83%,17%,$3.17,"$1,483,000.00"
12127,FL,"Volusia County, Florida",14.3%," 74,230 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.4%,,27.6%,21.3%," 19,850 ",75%,25%,$3.37,"$42,666,000.00"
12129,FL,"Wakulla County, Florida",13.5%," 4,270 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.3%,,43.7%,19.0%," 1,250 ",68%,32%,$2.95,"$2,151,000.00"
12131,FL,"Walton County, Florida",14.2%," 9,020 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.9%,,37.1%,23.4%," 3,030 ",74%,26%,$3.84,"$5,907,000.00"
12133,FL,"Washington County, Florida",16.7%," 4,090 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.8%,,26.2%,23.2%," 1,130 ",96%,4%,$2.83,"$1,974,000.00"
13001,GA,"Appling County, Georgia",14.9%," 2,740 ",130%,SNAP,185%,Other Nutrition Program,71.5%,8.6%,19.9%,23.4%," 1,090 ",87%,13%,$2.75,"$1,284,000.00"
13003,GA,"Atkinson County, Georgia",12.7%," 1,050 ",130%,SNAP,185%,Other Nutrition Program,79.9%,15.0%,5.2%,24.9%, 580 ,91%,9%,$2.66,"$477,000.00"
13005,GA,"Bacon County, Georgia",13.9%," 1,570 ",130%,SNAP,185%,Other Nutrition Program,58.3%,17.0%,24.7%,23.4%, 680 ,87%,13%,$2.68,"$719,000.00"
13007,GA,"Baker County, Georgia",17.1%, 560 ,130%,SNAP,185%,Other Nutrition Program,61.3%,19.3%,19.4%,20.5%, 130 ,76%,24%,$2.92,"$279,000.00"
13009,GA,"Baldwin County, Georgia",20.9%," 9,520 ",130%,SNAP,185%,Other Nutrition Program,63.5%,13.0%,23.5%,25.0%," 2,190 ",76%,24%,$2.69,"$4,373,000.00"
13011,GA,"Banks County, Georgia",9.9%," 1,820 ",130%,SNAP,185%,Other Nutrition Program,63.8%,29.8%,6.4%,19.2%, 820 ,100%,0%,$3.01,"$933,000.00"
13013,GA,"Barrow County, Georgia",10.0%," 7,480 ",130%,SNAP,185%,Other Nutrition Program,52.6%,21.8%,25.5%,18.5%," 3,750 ",75%,25%,$2.91,"$3,709,000.00"
13015,GA,"Bartow County, Georgia",11.4%," 11,660 ",130%,SNAP,185%,Other Nutrition Program,55.5%,19.0%,25.4%,19.5%," 4,990 ",74%,26%,$2.82,"$5,612,000.00"
13017,GA,"Ben Hill County, Georgia",21.0%," 3,630 ",130%,SNAP,185%,Other Nutrition Program,64.7%,14.9%,20.4%,28.0%," 1,240 ",75%,25%,$2.79,"$1,730,000.00"
13019,GA,"Berrien County, Georgia",14.5%," 2,770 ",130%,SNAP,185%,Other Nutrition Program,65.6%,15.3%,19.1%,23.1%," 1,060 ",86%,14%,$2.91,"$1,375,000.00"
13021,GA,"Bibb County, Georgia",21.8%," 33,590 ",130%,SNAP,185%,Other Nutrition Program,62.1%,13.6%,24.2%,25.4%," 9,750 ",67%,33%,$2.91,"$16,658,000.00"
13023,GA,"Bleckley County, Georgia",17.1%," 2,190 ",130%,SNAP,185%,Other Nutrition Program,53.9%,18.4%,27.7%,24.7%, 670 ,81%,19%,$2.96,"$1,106,000.00"
13025,GA,"Brantley County, Georgia",13.3%," 2,450 ",130%,SNAP,185%,Other Nutrition Program,71.7%,19.2%,9.2%,23.8%," 1,070 ",100%,0%,$3.07,"$1,284,000.00"
13027,GA,"Brooks County, Georgia",16.2%," 2,540 ",130%,SNAP,185%,Other Nutrition Program,62.9%,13.2%,24.0%,24.7%, 840 ,66%,34%,$3.00,"$1,298,000.00"
13029,GA,"Bryan County, Georgia",11.2%," 3,890 ",130%,SNAP,185%,Other Nutrition Program,50.1%,8.8%,41.1%,18.4%," 1,880 ",57%,43%,$3.39,"$2,248,000.00"
13031,GA,"Bulloch County, Georgia",19.6%," 14,470 ",130%,SNAP,185%,Other Nutrition Program,60.1%,8.6%,31.2%,23.3%," 3,460 ",71%,29%,$3.03,"$7,479,000.00"
13033,GA,"Burke County, Georgia",21.2%," 4,810 ",130%,SNAP,185%,Other Nutrition Program,66.6%,14.1%,19.3%,28.5%," 1,690 ",74%,26%,$2.69,"$2,206,000.00"
13035,GA,"Butts County, Georgia",16.4%," 3,850 ",130%,SNAP,185%,Other Nutrition Program,56.3%,7.1%,36.6%,23.1%," 1,150 ",71%,29%,$3.59,"$2,362,000.00"
13037,GA,"Calhoun County, Georgia",22.4%," 1,460 ",130%,SNAP,185%,Other Nutrition Program,51.2%,12.4%,36.4%,25.2%, 300 ,75%,25%,$2.95,"$736,000.00"
13039,GA,"Camden County, Georgia",13.0%," 6,780 ",130%,SNAP,185%,Other Nutrition Program,46.6%,20.9%,32.6%,20.6%," 2,660 ",73%,27%,$3.24,"$3,749,000.00"
13043,GA,"Candler County, Georgia",17.4%," 1,900 ",130%,SNAP,185%,Other Nutrition Program,72.2%,12.4%,15.4%,25.7%, 710 ,77%,23%,$2.90,"$939,000.00"
